Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
1292.76,0,16.0,2,6,0,119,13,1,0
1554.58,0,13.0,1,5,4,79,3,0,0
2395.02,0,12.0,1,0,3,115,9,4,0
100.1,2,15.0,0,1,4,3,4,4,0
1490.5,4,19.0,1,6,2,57,7,0,0
2372.04,0,15.0,0,0,3,96,14,0,0
544.81,2,2.0,2,0,3,6,9,4,1
635.75,0,13.0,2,0,2,13,10,1,0
2318.87,1,12.0,1,6,4,110,12,1,0
3656.17,2,3.0,1,1,4,66,3,3,0
2524.1000000000004,3,3.0,2,2,1,4,6,3,0
2733.84,2,20.0,1,6,2,68,1,0,0
2376.37,1,0.0,1,0,1,25,7,3,0
1924.48,3,0.0,2,1,0,113,1,3,0
968.78,0,15.0,0,6,1,52,13,3,0
737.08,2,12.0,2,2,2,65,4,3,0
3960.52,1,13.0,2,4,2,68,8,1,0
2327.71,3,20.0,0,4,4,21,1,1,0
3952.65,4,21.0,2,0,1,61,14,3,0
3521.89,2,14.0,1,6,1,22,12,4,0
973.51,2,2.0,1,5,1,43,12,4,0
2553.98,0,3.0,1,4,1,7,9,3,0
2222.86,4,14.0,1,4,1,103,10,4,0
2524.1000000000004,0,7.0,1,0,3,8,10,3,0
2715.14,4,4.0,0,0,1,71,10,3,0
2524.1000000000004,3,17.0,1,4,2,63,8,4,0
4065.44,3,21.0,2,5,4,99,9,3,0
4519.04,2,13.0,2,0,0,81,10,0,1
153.05,2,20.0,1,3,3,82,2,1,0
705.98,3,12.0,1,3,3,2,11,4,0
428.39,4,20.0,0,5,0,85,10,0,0
1319.84,0,12.0,1,2,3,81,2,1,0
2212.25,3,10.0,0,5,4,14,13,4,0
3212.06,3,20.0,1,6,0,31,2,4,0
2506.65,1,5.0,2,4,0,108,13,1,0
4516.4,2,7.0,1,2,0,110,10,3,0
4699.58,4,15.0,0,6,1,14,14,3,0
821.79,0,7.0,1,6,2,116,10,0,0
4265.3,1,0.0,2,7,4,15,4,4,0
2411.2,1,19.0,1,5,4,14,12,4,0
2269.38,3,8.0,2,5,0,51,1,1,0
3925.77,2,13.0,1,2,2,71,1,2,0
470.24,3,11.0,0,0,2,8,3,1,0
4413.05,1,21.0,0,0,4,46,11,0,1
3355.96,1,4.0,0,2,0,21,3,3,0
4376.93,0,20.0,1,5,1,94,7,3,0
4972.42,3,13.0,2,2,1,93,14,0,0
2592.43,3,13.0,2,5,1,119,14,3,0
470.84,4,12.0,2,5,1,70,3,3,0
2524.1000000000004,0,4.0,1,0,3,10,7,1,0
1621.47,2,17.0,0,3,4,108,5,1,0
522.25,3,8.0,1,4,0,1,1,3,0
4077.63,3,18.0,0,2,1,85,12,1,0
1487.85,2,0.0,1,2,0,21,5,1,0
4879.55,0,1.0,0,2,0,58,11,3,0
3514.44,3,20.0,2,6,2,112,6,3,0
871.28,2,11.0,1,1,3,41,14,3,0
2382.83,4,12.0,3,5,0,27,14,0,0
2337.09,3,20.0,2,1,0,19,7,4,0
2465.1,2,18.0,2,2,2,41,14,0,0
2680.78,1,21.0,1,3,3,68,5,0,0
160.71,3,19.0,1,4,3,35,11,1,0
3433.07,4,1.0,1,3,2,7,2,4,0
2438.52,2,3.0,1,7,1,18,11,0,0
3955.87,2,20.0,0,5,4,106,4,4,0
4077.67,3,5.0,1,1,0,13,12,2,0
1156.52,1,16.0,0,6,4,29,12,4,0
246.87,2,22.0,1,7,1,1,6,1,0
3517.65,2,0.0,0,0,2,29,8,4,1
4888.93,1,19.0,0,1,0,109,2,3,0
2236.06,4,9.0,1,0,2,63,3,4,0
1301.77,3,3.0,1,1,4,61,8,2,0
787.58,3,0.0,1,0,1,103,1,0,0
1440.79,3,15.0,2,4,2,16,1,3,1
1642.96,0,18.0,2,0,0,74,11,4,0
2122.25,3,14.0,0,3,3,28,14,3,0
3278.76,1,3.0,0,4,2,107,13,4,0
1369.45,3,0.0,0,4,2,78,3,4,0
259.63,4,16.0,0,2,4,65,9,3,0
